Invoice ID,Branch,Yangon,Naypyitaw,Mandalay,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating
750-67-8428,A,1,0,0,Normal,Male,Health and beauty,74.69,7,261.415,,1/5/2019,13:08,Ewallet,9.1
226-31-3081,C,0,1,0,Normal,Male,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,9.6
631-41-3108,A,1,0,0,Normal,Male,Home and lifestyle,46.33,7,162.155,3.405.255,3/3/2019,13:23,Credit card,7.4
123-19-1176,A,1,0,0,Normal,Male,Health and beauty,58.22,8,,489.048,1/27/2019,8 - 30 PM,Ewallet,8.4
373-73-7910,A,1,0,0,Normal,Male,Sports and travel,86.31,7,302.085,6.343.785,2/8/2019,10:37,Ewallet,5.3
699-14-3026,C,0,1,0,Normal,Male,Electronic accessories,85.39,7,298.865,6.276.165,3/25/2019,18:30,Ewallet,4.1
355-53-5943,A,1,0,0,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,5.8
315-22-5665,C,0,1,0,Normal,Male,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,8
665-32-9167,A,1,0,0,Normal,Male,Health and beauty,36.26,2,,76.146,1/10/2019,17:15,Credit card,7.2
692-92-5582,B,0,0,1,Normal,Male,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,5.9
351-62-0822,B,0,0,1,Normal,Male,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,18:07,Ewallet,4.5
529-56-3974,B,0,0,1,Normal,Male,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,17:03,Cash,6.8
365-64-0515,A,1,0,0,Normal,Male,Electronic accessories,46.95,5,117.375,2.464.875,2/12/2019,10:25,Ewallet,7.1
252-56-2699,A,1,0,0,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2/7/2019,16:48,Ewallet,8.2
