Invoice ID,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,Rating,City
750-67-8428,Normal,Male,Health and beauty,74.69,7,26.141499999999997,548.9714999999999,1/5/2019,13:08,Ewallet,9.1,Yangon
631-41-3108,Normal,Male,Home and lifestyle,46.33,7,16.215500000000002,340.5255,3/3/2019,13:23,Credit card,7.4,Yangon
123-19-1176,Normal,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:30,Ewallet,8.4,Yangon
373-73-7910,Normal,Male,Sports and travel,86.31,7,30.208500000000004,634.3785,2/8/2019,10:37,Ewallet,5.3,Yangon
355-53-5943,Normal,Male,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,5.8,Yangon
665-32-9167,Normal,Male,Health and beauty,36.26,2,3.626,76.146,1/10/2019,17:15,Credit card,7.2,Yangon
365-64-0515,Normal,Male,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,7.1,Yangon
252-56-2699,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2/7/2019,16:48,Ewallet,8.2,Yangon
829-34-3910,Normal,Male,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,5.7,Yangon
656-95-9349,Normal,Male,Health and beauty,68.93,7,24.125500000000002,506.63550000000004,3/11/2019,11:03,Credit card,4.6,Yangon
765-26-6951,Normal,Male,Sports and travel,72.61,6,21.783,457.443,1/1/2019,10:39,Credit card,6.9,Yangon
329-62-1586,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,8.6,Yangon
636-48-8204,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,9.9,Yangon
549-59-1358,Normal,Male,Sports and travel,88.63,3,13.2945,279.18449999999996,3/2/2019,17:36,Ewallet,6.0,Yangon
227-03-5010,Normal,Male,Home and lifestyle,52.59,8,21.036,441.75600000000003,3/22/2019,19:20,Credit card,8.5,Yangon
189-17-4241,Normal,Male,Fashion accessories,87.67,2,8.767000000000001,184.107,3/10/2019,12:17,Credit card,7.7,Yangon
848-62-7243,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,7.4,Yangon
595-11-5460,Normal,Male,Health and beauty,96.58,2,9.658000000000001,202.81799999999998,3/15/2019,10:12,Credit card,5.1,Yangon
129-29-8530,Normal,Male,Sports and travel,62.62,5,15.655,328.75499999999994,3/10/2019,19:15,Ewallet,7.0,Yangon
272-65-1806,Normal,Male,Electronic accessories,60.88,9,27.396000000000004,575.316,1/15/2019,17:17,Ewallet,4.7,Yangon
287-21-9091,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,9.4,Yangon
381-20-0914,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,1/12/2019,15:48,Credit card,5.7,Yangon
633-44-8566,Member,Male,Food and beverages,49.38,7,17.283,362.94300000000004,3/27/2019,20:35,Credit card,7.3,Yangon
504-35-8843,Normal,Male,Sports and travel,42.47,1,2.1235,44.5935,1/2/2019,16:57,Cash,5.7,Yangon
873-51-0671,Member,Female,Sports and travel,21.98,7,7.693000000000001,161.55300000000003,1/10/2019,16:42,Ewallet,5.1,Yangon
594-34-4444,Normal,Male,Electronic accessories,97.16,1,4.8580000000000005,102.018,3/8/2019,20:38,Ewallet,7.2,Yangon
865-92-6136,Normal,Male,Food and beverages,52.75,3,7.9125000000000005,166.1625,3/23/2019,10:16,Ewallet,9.3,Yangon
212-62-1842,Normal,Male,Food and beverages,58.26,6,17.478,367.038,3/28/2019,16:44,Cash,9.9,Yangon
704-48-3927,Member,Male,Electronic accessories,88.67,10,44.33500000000001,931.0350000000001,1/12/2019,14:50,Ewallet,7.3,Yangon
630-74-5166,Normal,Male,Sports and travel,62.13,6,18.639000000000003,391.41900000000004,3/22/2019,20:19,Cash,7.4,Yangon
645-44-1170,Member,Male,Home and lifestyle,58.07,9,26.131500000000003,548.7615,1/19/2019,20:07,Ewallet,4.3,Yangon
642-32-2990,Normal,Female,Food and beverages,10.96,10,5.48,115.08000000000001,2/2/2019,20:48,Ewallet,6.0,Yangon
638-60-7125,Normal,Female,Electronic accessories,99.56,8,39.824000000000005,836.304,2/14/2019,17:03,Credit card,5.2,Yangon
668-90-8900,Normal,Female,Home and lifestyle,93.69,7,32.7915,688.6215,3/10/2019,18:44,Credit card,4.5,Yangon
870-54-3162,Normal,Female,Sports and travel,32.25,5,8.0625,169.3125,1/27/2019,13:26,Cash,9.0,Yangon
802-70-5316,Member,Female,Sports and travel,92.13,6,27.639,580.419,3/6/2019,20:34,Cash,8.3,Yangon
700-81-1757,Normal,Female,Electronic accessories,26.31,5,6.5775,138.12749999999997,1/18/2019,20:59,Credit card,8.8,Yangon
354-39-5160,Member,Female,Home and lifestyle,34.42,6,10.326,216.846,2/18/2019,15:39,Cash,9.8,Yangon
575-30-8091,Normal,Male,Sports and travel,72.5,8,29.0,609.0,3/16/2019,19:25,Ewallet,9.2,Yangon
239-10-7476,Normal,Female,Home and lifestyle,77.95,6,23.385000000000005,491.08500000000004,1/21/2019,16:37,Ewallet,8.0,Yangon
685-64-1609,Member,Female,Fashion accessories,30.14,10,15.07,316.46999999999997,2/10/2019,12:28,Ewallet,9.2,Yangon
238-49-0436,Normal,Male,Health and beauty,32.46,8,12.984000000000002,272.664,3/27/2019,13:48,Credit card,4.9,Yangon
746-94-0204,Normal,Male,Fashion accessories,83.24,9,37.458,786.6179999999999,1/29/2019,11:56,Credit card,7.4,Yangon
782-95-9291,Member,Male,Food and beverages,92.29,5,23.072500000000005,484.52250000000004,2/20/2019,15:55,Credit card,9.0,Yangon
275-28-0149,Normal,Male,Sports and travel,63.69,1,3.1845,66.8745,2/25/2019,16:21,Cash,6.0,Yangon
101-17-6199,Normal,Male,Food and beverages,45.79,7,16.0265,336.55649999999997,3/13/2019,19:44,Credit card,7.0,Yangon
687-47-8271,Normal,Male,Fashion accessories,98.98,10,49.49000000000001,1039.29,2/8/2019,16:20,Credit card,8.7,Yangon
796-32-9050,Normal,Male,Food and beverages,51.28,6,15.384,323.064,1/19/2019,16:31,Cash,6.5,Yangon
105-31-1824,Member,Male,Sports and travel,69.52,7,24.332,510.972,2/1/2019,15:10,Credit card,8.5,Yangon
249-42-3782,Normal,Male,Health and beauty,70.01,5,17.5025,367.5525,1/3/2019,11:36,Ewallet,5.5,Yangon
827-26-2100,Member,Male,Home and lifestyle,33.84,9,15.228000000000003,319.78800000000007,3/21/2019,16:21,Ewallet,8.8,Yangon
175-54-2529,Member,Male,Food and beverages,22.17,8,8.868,186.228,3/3/2019,17:01,Credit card,9.6,Yangon
407-63-8975,Normal,Male,Food and beverages,73.88,6,22.164,465.44399999999996,3/23/2019,19:16,Ewallet,4.4,Yangon
851-28-6367,Member,Male,Sports and travel,15.5,10,7.75,162.75,3/23/2019,10:55,Ewallet,8.0,Yangon
586-25-0848,Normal,Female,Sports and travel,12.34,7,4.319,90.699,3/4/2019,11:19,Credit card,6.7,Yangon
400-60-7251,Normal,Male,Home and lifestyle,74.07,1,3.7035,77.7735,2/10/2019,12:50,Ewallet,9.9,Yangon
831-07-6050,Normal,Male,Electronic accessories,32.71,5,8.1775,171.72750000000002,3/19/2019,11:30,Credit card,9.9,Yangon
856-22-8149,Normal,Female,Home and lifestyle,25.29,1,1.2645,26.554499999999997,3/23/2019,10:13,Ewallet,6.1,Yangon
749-24-1565,Normal,Female,Health and beauty,23.03,9,10.363500000000002,217.63350000000003,1/3/2019,12:02,Ewallet,7.9,Yangon
888-02-0338,Normal,Male,Electronic accessories,26.23,9,11.8035,247.87349999999998,1/25/2019,20:24,Ewallet,5.9,Yangon
802-43-8934,Normal,Male,Home and lifestyle,18.28,1,0.9140000000000001,19.194000000000003,3/22/2019,15:05,Credit card,8.3,Yangon
319-74-2561,Member,Female,Electronic accessories,94.64,3,14.196000000000002,298.11600000000004,2/21/2019,16:55,Cash,5.5,Yangon
213-72-6612,Normal,Male,Food and beverages,43.25,2,4.325,90.825,3/20/2019,15:56,Cash,6.2,Yangon
721-86-6247,Normal,Female,Home and lifestyle,63.42,8,25.368000000000002,532.7280000000001,3/11/2019,12:55,Ewallet,7.4,Yangon
157-13-5295,Member,Male,Health and beauty,51.94,10,25.97,545.37,3/9/2019,18:24,Ewallet,6.5,Yangon
